date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:45	1078/1078	---M--	200	added ('OK')	application/javascript	etag:%2265050c8-436-524d9a7f66800%22	http://chemoah.com/wp-includes/js/comment-reply.min.js?ver=4.5.13	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-includes/js/comment-reply.min7ebd.js	(from http://chemoah.com/)
11:04:45	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2265051ab-57b-5318f44bee9c0%22	http://chemoah.com/wp-includes/js/wp-embed.min.js?ver=4.5.13	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-includes/js/wp-embed.min7ebd.js	(from http://chemoah.com/)
11:04:46	2093/2093	---M--	200	added ('OK')	image/gif	etag:%226500670-82d-5318f396bbe40%22	http://chemoah.com/wp-content/themes/enfold/images/layout/loading.gif	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/images/layout/loading.gif	(from http://chemoah.com/wp-content/themes/enfold/css/layout.css?ver=2)
11:04:51	27886/27886	---M--	200	added ('OK')	image/gif	etag:%226500675-6cee-5318f396bbe40%22	http://chemoah.com/wp-content/themes/enfold/images/layout/preload-dark-big.gif	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/images/layout/preload-dark-big.gif	(from http://chemoah.com/wp-content/themes/enfold/css/shortcodes.css?ver=2)
11:04:53	111798/111798	---M--	200	added ('OK')	application/javascript	etag:%226500a0d-1b4b6-5318f395c7c00%22	http://chemoah.com/wp-content/themes/enfold/js/avia.js?ver=3	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/js/avia592e.js	(from http://chemoah.com/)
11:04:54	80671/80671	---M--	200	added ('OK')	application/javascript	etag:%2265052f6-13b1f-5323a79f2cac0%22	http://chemoah.com/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=2.18.1-a	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-includes/js/mediaelement/mediaelement-and-player.min7796.js	(from http://chemoah.com/)
11:04:54	969/969	---M--	200	added ('OK')	image/png	etag:%226500a8b-3c9-5318f395c7c00%22	http://chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/background.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/background.png	(from http://chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer.css?ver=1)
11:04:54	1076/1076	---M--	200	added ('OK')	image/png	etag:%226500a96-434-5318f395c7c00%22	http://chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/sep.png	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/sep.png	(from http://chemoah.com/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer.css?ver=1)
11:04:55	3840/3840	---M--	200	added ('OK')	text/css	etag:%2264a1f9c-f00-534681a1e74c0%22	http://chemoah.com/wp-content/plugins/gravityforms/css/formreset.min.css?ver=1.9.19	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/plugins/gravityforms/css/formreset.min5f34.css	(from http://chemoah.com/self-referral-form/)
11:04:55	5328/5328	---M--	200	added ('OK')	text/css	etag:%2264a1f92-14d0-534681a1e74c0%22	http://chemoah.com/wp-content/plugins/gravityforms/css/datepicker.min.css?ver=1.9.19	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/plugins/gravityforms/css/datepicker.min5f34.css	(from http://chemoah.com/self-referral-form/)
11:04:56	55221/55221	---M--	200	added ('OK')	text/css	etag:%2264a1fa5-d7b5-534681a1e74c0%22	http://chemoah.com/wp-content/plugins/gravityforms/css/formsmain.min.css?ver=1.9.19	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/plugins/gravityforms/css/formsmain.min5f34.css	(from http://chemoah.com/self-referral-form/)
11:04:57	26988/26988	---M--	200	added ('OK')	image/gif	etag:%226500678-696c-5318f396bbe40%22	http://chemoah.com/wp-content/themes/enfold/images/layout/preload-dark-grey-big.gif	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/themes/enfold/images/layout/preload-dark-grey-big.gif	(from http://chemoah.com/wp-content/themes/enfold/css/shortcodes.css?ver=2)
11:04:57	19526/19526	---M--	200	added ('OK')	text/css	etag:%2264a1fbd-4c46-534681a1e74c0%22	http://chemoah.com/wp-content/plugins/gravityforms/css/readyclass.min.css?ver=1.9.19	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/plugins/gravityforms/css/readyclass.min5f34.css	(from http://chemoah.com/self-referral-form/)
11:04:58	7882/7882	---M--	200	added ('OK')	text/css	etag:%2264a1f90-1eca-534681a1e74c0%22	http://chemoah.com/wp-content/plugins/gravityforms/css/browsers.min.css?ver=1.9.19	C:/Users/SP056756/Documents/Projects/InfuzionRip/Infuzion/chemoah.com/wp-content/plugins/gravityforms/css/browsers.min5f34.css	(from http://chemoah.com/self-referral-form/)
